colour	x	y	group	showSelectedlegendcolour
#F8766D	1960	3.453	1	East Asia & Pacific (all income levels)
#F8766D	1961	3.54	1	East Asia & Pacific (all income levels)
#F8766D	1962	3.442	1	East Asia & Pacific (all income levels)
#F8766D	1963	3.332	1	East Asia & Pacific (all income levels)
#F8766D	1964	3.146	1	East Asia & Pacific (all income levels)
#F8766D	1965	2.977	1	East Asia & Pacific (all income levels)
#F8766D	1966	2.881	1	East Asia & Pacific (all income levels)
#F8766D	1967	2.848	1	East Asia & Pacific (all income levels)
#F8766D	1968	2.888	1	East Asia & Pacific (all income levels)
#F8766D	1969	2.886	1	East Asia & Pacific (all income levels)
#F8766D	1970	2.859	1	East Asia & Pacific (all income levels)
#F8766D	1971	2.961	1	East Asia & Pacific (all income levels)
#F8766D	1972	2.744	1	East Asia & Pacific (all income levels)
#F8766D	1973	2.491	1	East Asia & Pacific (all income levels)
#F8766D	1974	2.397	1	East Asia & Pacific (all income levels)
#F8766D	1975	2.148	1	East Asia & Pacific (all income levels)
#F8766D	1976	2.06	1	East Asia & Pacific (all income levels)
#F8766D	1977	2.007	1	East Asia & Pacific (all income levels)
#F8766D	1978	1.949	1	East Asia & Pacific (all income levels)
#F8766D	1979	1.907	1	East Asia & Pacific (all income levels)
#F8766D	1980	1.891	1	East Asia & Pacific (all income levels)
#F8766D	1981	1.935	1	East Asia & Pacific (all income levels)
#F8766D	1982	1.929	1	East Asia & Pacific (all income levels)
#F8766D	1983	1.924	1	East Asia & Pacific (all income levels)
#F8766D	1984	1.84	1	East Asia & Pacific (all income levels)
#F8766D	1985	1.923	1	East Asia & Pacific (all income levels)
#F8766D	1986	1.868	1	East Asia & Pacific (all income levels)
#F8766D	1987	1.845	1	East Asia & Pacific (all income levels)
#F8766D	1988	1.831	1	East Asia & Pacific (all income levels)
#F8766D	1989	1.838	1	East Asia & Pacific (all income levels)
#F8766D	1990	1.902	1	East Asia & Pacific (all income levels)
#F8766D	1991	1.849	1	East Asia & Pacific (all income levels)
#F8766D	1992	1.888	1	East Asia & Pacific (all income levels)
#F8766D	1993	1.859	1	East Asia & Pacific (all income levels)
#F8766D	1994	1.842	1	East Asia & Pacific (all income levels)
#F8766D	1995	1.822	1	East Asia & Pacific (all income levels)
#F8766D	1996	1.796	1	East Asia & Pacific (all income levels)
#F8766D	1997	1.778	1	East Asia & Pacific (all income levels)
#F8766D	1998	1.762	1	East Asia & Pacific (all income levels)
