colour	x	y	showSelectedlegendcolour	fill
#00C094	6.928	51.6086829268293	Middle East & North Africa (all income levels)	#00C094
#00C094	6.91	52.6601463414634	Middle East & North Africa (all income levels)	#00C094
#00C094	6.893	53.7608292682927	Middle East & North Africa (all income levels)	#00C094
#00C094	6.877	54.9011951219512	Middle East & North Africa (all income levels)	#00C094
#00C094	6.861	56.066243902439	Middle East & North Africa (all income levels)	#00C094
#00C094	6.841	57.2364146341463	Middle East & North Africa (all income levels)	#00C094
#00C094	6.816	58.3916585365854	Middle East & North Africa (all income levels)	#00C094
#00C094	6.783	59.5129268292683	Middle East & North Africa (all income levels)	#00C094
#00C094	6.738	60.5826829268293	Middle East & North Africa (all income levels)	#00C094
#00C094	6.679	61.5878780487805	Middle East & North Africa (all income levels)	#00C094
#00C094	6.605	62.5194878048781	Middle East & North Africa (all income levels)	#00C094
#00C094	6.512	63.373	Middle East & North Africa (all income levels)	#00C094
#00C094	6.402	64.1599512195122	Middle East & North Africa (all income levels)	#00C094
#00C094	6.279	64.8883170731707	Middle East & North Africa (all income levels)	#00C094
#00C094	6.146	65.5626341463415	Middle East & North Africa (all income levels)	#00C094
#00C094	6.009	66.1853902439024	Middle East & North Africa (all income levels)	#00C094
#00C094	5.873	66.7605853658537	Middle East & North Africa (all income levels)	#00C094
#00C094	5.744	67.291243902439	Middle East & North Africa (all income levels)	#00C094
#00C094	5.624	67.7853658536585	Middle East & North Africa (all income levels)	#00C094
#00C094	5.517	68.2474634146342	Middle East & North Africa (all income levels)	#00C094
#00C094	5.423	68.6840487804878	Middle East & North Africa (all income levels)	#00C094
#00C094	5.344	69.0996097560976	Middle East & North Africa (all income levels)	#00C094
#00C094	5.274	69.4961463414634	Middle East & North Africa (all income levels)	#00C094
#00C094	5.209	69.8756829268293	Middle East & North Africa (all income levels)	#00C094
#00C094	5.141	70.2411951219512	Middle East & North Africa (all income levels)	#00C094
#00C094	5.065	70.5941707317073	Middle East & North Africa (all income levels)	#00C094
#00C094	4.973	70.9336341463415	Middle East & North Africa (all income levels)	#00C094
#00C094	4.86	71.2575365853659	Middle East & North Africa (all income levels)	#00C094
#00C094	4.724	71.5669024390244	Middle East & North Africa (all income levels)	#00C094
#00C094	4.566	71.861243902439	Middle East & North Africa (all income levels)	#00C094
#00C094	4.388	72.1435365853659	Middle East & North Africa (all income levels)	#00C094
#00C094	4.193	72.4153170731707	Middle East & North Africa (all income levels)	#00C094
#00C094	3.989	72.6785853658537	Middle East & North Africa (all income levels)	#00C094
#00C094	3.784	72.9353414634146	Middle East & North Africa (all income levels)	#00C094
#00C094	3.584	73.1870975609756	Middle East & North Africa (all income levels)	#00C094
#00C094	3.394	73.4348536585366	Middle East & North Africa (all income levels)	#00C094
#00C094	3.217	73.6800975609756	Middle East & North Africa (all income levels)	#00C094
#00C094	3.055	73.9208292682927	Middle East & North Africa (all income levels)	#00C094
#00C094	2.906	74.1570487804878	Middle East & North Africa (all income levels)	#00C094
#00C094	2.77	74.3887317073171	Middle East & North Africa (all income levels)	#00C094
#00C094	2.645	74.6159024390244	Middle East & North Africa (all income levels)	#00C094
#00C094	2.527	74.8370731707317	Middle East & North Africa (all income levels)	#00C094
#00C094	2.413	75.0522195121951	Middle East & North Africa (all income levels)	#00C094
#00C094	2.301	75.2608780487805	Middle East & North Africa (all income levels)	#00C094
#00C094	2.191	75.4639756097561	Middle East & North Africa (all income levels)	#00C094
#00C094	2.086	75.6604634146342	Middle East & North Africa (all income levels)	#00C094
#00C094	1.989	75.8518048780488	Middle East & North Africa (all income levels)	#00C094
#00C094	1.906	76.0384390243903	Middle East & North Africa (all income levels)	#00C094
#00C094	1.839	76.2213414634146	Middle East & North Africa (all income levels)	#00C094
#00C094	1.787	76.3995609756098	Middle East & North Africa (all income levels)	#00C094
#00C094	1.749	76.5736097560976	Middle East & North Africa (all income levels)	#00C094
#00C094	1.721	76.7425365853659	Middle East & North Africa (all income levels)	#00C094
#A58AFF	7.7	31.1320975609756	South Asia	#A58AFF
#A58AFF	7.7	31.4752926829268	South Asia	#A58AFF
#A58AFF	7.7	31.8320243902439	South Asia	#A58AFF
#A58AFF	7.7	32.2042682926829	South Asia	#A58AFF
#A58AFF	7.7	32.5910487804878	South Asia	#A58AFF
#A58AFF	7.7	32.9898780487805	South Asia	#A58AFF
#A58AFF	7.7	33.3967317073171	South Asia	#A58AFF
#A58AFF	7.7	33.8091463414634	South Asia	#A58AFF
#A58AFF	7.7	34.2230731707317	South Asia	#A58AFF
#A58AFF	7.7	34.637512195122	South Asia	#A58AFF
#A58AFF	7.7	35.0559756097561	South Asia	#A58AFF
